ID,NAME,TYPE,COLOR,REINO ANIMAL
48,OSO NEGRO AMERICANO,NORTEAMÉRICA,#bd2649,
49,PUMA,NORTEAMÉRICA,#bd2649,
50,LOBO GRIS MEXICANO,NORTEAMÉRICA,#bd2649,
51,ARMADILLO DE NUEVE BANDAS ,NORTEAMÉRICA,#bd2649,
52,ALCE ,NORTEAMÉRICA,#bd2649,
53,ZORRO ROJO,NORTEAMÉRICA,#bd2649,
54,MAPACHE,NORTEAMÉRICA,#bd2649,
55,CAIMÁN AMERICANO ,NORTEAMÉRICA,#bd2649,
56,CÓNDOR DE CALIFORNIA,NORTEAMÉRICA,#bd2649,
57,ARDILLA GRIS,NORTEAMÉRICA,#bd2649,
58,PUERCOESPÍN NORTEAMERICANO,NORTEAMÉRICA,#bd2649,
59,CASTOR AMERICANO,NORTEAMÉRICA,#bd2649,
60,SERPIENTE DE CASCABEL DIAMANTINA,NORTEAMÉRICA,#bd2649,
61,JAGUAR ,SUDAMÉRICA,#ffac14,
62,ANACONDA VERDE ,SUDAMÉRICA,#ffac14,
63,CAPIBARA,SUDAMÉRICA,#ffac14,
64,OSO DE ANTEOJOS,SUDAMÉRICA,#ffac14,
65,PIRAÑA ROJA ,SUDAMÉRICA,#ffac14,
66,CÓNDOR ANDINO,SUDAMÉRICA,#ffac14,
67,TAPIR SUDAMERICANO,SUDAMÉRICA,#ffac14,
68,DELFÍN ROSADO DEL AMAZONAS,SUDAMÉRICA,#ffac14,
69,ARMADILLO GIGANTE,SUDAMÉRICA,#ffac14,
70,MONO ARAÑA,SUDAMÉRICA,#ffac14,
71,PEREZA DE TRES DEDOS,SUDAMÉRICA,#ffac14,
72,FLAMENCO CHILENO,SUDAMÉRICA,#ffac14,
73,RHEA ,SUDAMÉRICA,#ffac14,
74,ALPACA ,SUDAMÉRICA,#ffac14,
75,CAIMÁN NEGRO ,SUDAMÉRICA,#ffac14,
76,PINGÜINO EMPERADOR,ÁRTICO Y ANTÁRTIDA,#27DADD,
77,FOCA LEOPARDO,ÁRTICO Y ANTÁRTIDA,#27DADD,
78,PETREL GIGANTE DEL SUR,ÁRTICO Y ANTÁRTIDA,#27DADD,
79,ALBATROS ERRANTE,ÁRTICO Y ANTÁRTIDA,#27DADD,
80,BALLENA AZUL ANTÁRTICA,ÁRTICO Y ANTÁRTIDA,#27DADD,
81,CALAMAR COLOSAL,ÁRTICO Y ANTÁRTIDA,#27DADD,
82,KRILL ANTÁRTICO,ÁRTICO Y ANTÁRTIDA,#27DADD,
83,PINGÜINO BARBIJO,ÁRTICO Y ANTÁRTIDA,#27DADD,
84,OSO POLAR,ÁRTICO Y ANTÁRTIDA,#27DADD,
85,ESTRELLA DE MAR ANTÁRTICA,ÁRTICO Y ANTÁRTICO,#27DADD,
86,BUEY ALMIZCLERO,ÁRTICO Y ANTÁRTIDA,#27DADD,
87,RENO,ÁRTICO Y ANTÁRTIDA,#27DADD,
88,LOBO ÁRTICO,ÁRTICO Y ANTÁRTIDA,#27DADD,
89,LIEBRE ÁRTICA,ÁRTICO Y ANTÁRTIDA,#27DADD,
90,MORSA ÁRTICA,ÁRTICO Y ANTÁRTIDA,#27DADD,
91,FOCA ANILLADA,ÁRTICO Y ANTÁRTIDA,#27DADD,
92,NARVAL,ÁRTICO Y ANTÁRTIDA,#27DADD,
93,BELUGA,ÁRTICO Y ANTÁRTIDA,#27DADD,
94,BALLENA DE GROENLANDIA,ÁRTICO Y ANTÁRTIDA,#27DADD,
95,LECHUZA NIVAL,ÁRTICO Y ANTÁRTIDA,#27DADD,
96,GAVIOTA TRIDÁCTILA,ÁRTICO Y ANTÁRTIDA,#27DADD,
97,PERRO,DOMÉSTICO,#2DCF48
98,GATO,DOMÉSTICO,#2DCF48
99,CABALLO,DOMÉSTICO,#2DCF48
100,PALOMA,DOMÉSTICO,#2DCF48
101,GALLINA,DOMÉSTICO,#2DCF48
102,VACA,DOMÉSTICO,#2DCF48
103,OVEJA,DOMÉSTICO,#2DCF48
104,CABRA,DOMÉSTICO,#2DCF48
105,CONEJO,DOMÉSTICO,#2DCF48
106,PATO,DOMÉSTICO,#2DCF48
107,PAVO,DOMÉSTICO,#2DCF48
108,CERDO,DOMÉSTICO,#2DCF48
109,GANSO,DOMÉSTICO,#2DCF48
110,HÁMSTER,DOMÉSTICO,#2DCF48
111,HURÓN,DOMÉSTICO,#2DCF48
112,CONEJILLO DE INDIAS,DOMÉSTICO,#2DCF48
113,LORO,DOMÉSTICO,#2DCF48
114,CANARIO,DOMÉSTICO,#2DCF48
115,PEZ DORADO,DOMÉSTICO,#2DCF48
